pl_name,hostname,default_flag,sy_snum,sy_pnum,disc_year,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_met,st_meterr1,st_meterr2,st_metlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,sy_dist,sy_disterr1,sy_disterr2,releasedate
HAT-P-50 b,HAT-P-50,0,1,1,2015,Published Confirmed,0,3.12200544,6.4e-07,-6.4e-07,0.0,2.3,0.37,-0.22,0.0,0.20519226,0.03300919,-0.01962712,0.0,190.53508499999998,17.162776989999998,-15.8915,0.0,0.6,0.054,-0.05,0.0,,797.0,21.0,-20.0,0.0,,5613.0,113.0,-117.0,0.0,-0.0039,0.12,-0.14,0.0,-0.08221,0.0233,-0.02263,0.0,515.458,16.696,-15.697,2022-10-18
HAT-P-52 b,HAT-P-52,0,1,1,2015,Published Confirmed,0,2.75359762,4.7e-07,-4.7e-07,0.0,2.3,0.37,-0.22,0.0,0.20519226,0.03300919,-0.01962712,0.0,190.53508499999998,17.162776989999998,-15.8915,0.0,0.6,0.054,-0.05,0.0,,797.0,21.0,-20.0,0.0,,5613.0,113.0,-117.0,0.0,-0.0039,0.12,-0.14,0.0,-0.08221,0.0233,-0.02263,0.0,361.155,4.2875,-4.2875,2022-10-18
HAT-P-53 b,HAT-P-53,0,1,1,2015,Published Confirmed,0,1.96162529,3.5e-07,-3.5e-07,0.0,2.3,0.37,-0.22,0.0,0.20519226,0.03300919,-0.01962712,0.0,190.53508499999998,17.162776989999998,-15.8915,0.0,0.6,0.054,-0.05,0.0,,797.0,21.0,-20.0,0.0,,5956.0,50.0,-50.0,0.0,-0.0039,0.12,-0.14,0.0,-0.08221,0.0233,-0.02263,0.0,666.802,15.276,-14.619,2024-05-08
HAT-P-54 b,HAT-P-54,0,1,1,2015,Published Confirmed,0,3.79985363,3.7e-07,-3.7e-07,0.0,2.3,0.37,-0.22,0.0,0.20519226,0.03300919,-0.01962712,0.0,190.53508499999998,17.162776989999998,-15.8915,0.0,0.6,0.054,-0.05,0.0,,797.0,21.0,-20.0,0.0,,5613.0,113.0,-117.0,0.0,-0.0039,0.12,-0.14,0.0,-0.08221,0.0233,-0.02263,0.0,143.651,0.583,-0.579,2025-09-25
HAT-P-54 b,HAT-P-54,0,1,1,2015,Published Confirmed,0,3.7998529,1.7e-06,-1.7e-06,0.0,2.3,0.37,-0.22,0.0,0.20519226,0.03300919,-0.01962712,0.0,190.53508499999998,17.162776989999998,-15.8915,0.0,0.6,0.054,-0.05,0.0,,797.0,21.0,-20.0,0.0,,5613.0,113.0,-117.0,0.0,-0.0039,0.12,-0.14,0.0,-0.08221,0.0233,-0.02263,0.0,143.651,0.583,-0.579,2022-10-18
HAT-P-55 b,HAT-P-55,0,1,1,2015,Published Confirmed,0,3.58523164,1e-06,-1e-06,0.0,2.3,0.37,-0.22,0.0,0.20519226,0.03300919,-0.01962712,0.0,190.53508499999998,17.162776989999998,-15.8915,0.0,0.6,0.054,-0.05,0.0,,797.0,21.0,-20.0,0.0,,5613.0,113.0,-117.0,0.0,-0.0039,0.12,-0.14,0.0,-0.08221,0.0233,-0.02263,0.0,511.388,3.634,-3.585,2022-10-18
HAT-P-56 b,HAT-P-56,0,1,1,2015,Published Confirmed,0,2.79082479,4.9e-07,-4.9e-07,0.0,2.3,0.37,-0.22,0.0,0.20519226,0.03300919,-0.01962712,0.0,190.53508499999998,17.162776989999998,-15.8915,0.0,0.6,0.054,-0.05,0.0,,797.0,21.0,-20.0,0.0,,5613.0,113.0,-117.0,0.0,-0.0039,0.12,-0.14,0.0,-0.08221,0.0233,-0.02263,0.0,320.639,5.652,-5.463,2022-10-18
HAT-P-56 b,HAT-P-56,0,1,1,2015,Published Confirmed,0,2.790833,4e-06,-4e-06,0.0,2.3,0.37,-0.22,0.0,0.20519226,0.03300919,-0.01962712,0.0,190.53508499999998,17.162776989999998,-15.8915,0.0,0.6,0.054,-0.05,0.0,,797.0,21.0,-20.0,0.0,,6568.0,51.0,-53.0,0.0,-0.0039,0.12,-0.14,0.0,-0.08221,0.0233,-0.02263,0.0,320.639,5.652,-5.463,2016-05-19
HAT-P-66 b,HAT-P-66,0,1,1,2016,Published Confirmed,0,2.9720887,1.8e-06,-1.8e-06,0.0,2.3,0.37,-0.22,0.0,0.20519226,0.03300919,-0.01962712,0.0,190.53508499999998,17.162776989999998,-15.8915,0.0,0.6,0.054,-0.05,0.0,,797.0,21.0,-20.0,0.0,,5613.0,113.0,-117.0,0.0,-0.0039,0.12,-0.14,0.0,-0.08221,0.0233,-0.02263,0.0,935.456,24.361,-23.177,2022-10-18
HAT-P-69 b,HAT-P-69,0,1,1,2019,Published Confirmed,0,4.7869568,8.1e-06,-8.1e-06,0.0,2.3,0.37,-0.22,0.0,0.20519226,0.03300919,-0.01962712,0.0,190.53508499999998,17.162776989999998,-15.8915,0.0,0.6,0.054,-0.05,0.0,,797.0,21.0,-20.0,0.0,,5613.0,113.0,-117.0,0.0,-0.0039,0.12,-0.14,0.0,-0.08221,0.0233,-0.02263,0.0,341.263,5.116,-4.969,2022-10-18
